product,capability,current_status,demo_ready,production_ready,blocker,notes
Command,Integration Health,working,YES,YES,,Connector status
Command,Graph Compiler,working,YES,YES,,Workflow graph
Command,Eval Lab,working,YES,YES,,Evaluation runs
Command,Replay Lab,working,YES,YES,,Scenario replay
Command,Intelligence,working,YES,YES,,AI-generated insights
Command,Governance,working,YES,YES,,Policy governance
Command,Demo Launchpad,working,YES,YES,,/command/demo; one-click reset; persona switcher
Terra,Property Map,working,YES,YES,,Mapbox configured
Terra,Why This Property Now,working,YES,YES,,912 lines; ranked thesis engine
Terra,Distress Engine,working,YES,YES,,Lien/violation scoring
Terra,Ownership Graph,working,YES,YES,,Entity resolution
Terra,Portfolio Dashboard,working,YES,YES,,
Terra,Deals Pipeline,working,YES,YES,,
Terra,Investment Analysis,working,YES,YES,,
Terra,Pro Forma,working,YES,YES,,
Terra,AVM Engine,working,YES,YES,,
Terra,Comparable Sales,working,YES,YES,,
Terra,NYC Open Data ingestion,partial,NO,NO,ETL not actively scheduled,Scripts exist; no UI health monitor
Terra,Watchlist → Alloy handoff,working,YES,YES,,Pipeline wired
Terra,Property Brief Export,working,YES,YES,,PDF-ready template
Aegis,SOC Dashboard,working,YES,YES,,
Aegis,Adversary Narrative Engine,working,YES,YES,,1806 lines; exec + analyst modes
Aegis,MITRE ATT&CK mapping,working,YES,YES,,Verified framework
Aegis,SOAR Playbooks,working,YES,YES,,Safety gates on irreversible actions
Aegis,Threat Intelligence Feed,partial,YES,YES,,STIX/TAXII polling; OFAC/EU/UN live
Aegis,Incident Management,working,YES,YES,,
Aegis,Alert Center,working,YES,YES,,
Aegis,Vulnerability Dashboard,working,YES,YES,,
Aegis,XDR Console,working,YES,YES,,
Aegis,Identity Blast Radius,working,YES,YES,,
Aegis,SIEM connectors,dormant,NO,NO,No live SIEM vendor wired,Abstraction exists; labeled Integration Pending
Aegis,Compliance Evidence,working,YES,YES,,
Vessels,Fleet Dashboard,working,YES,YES,,
Vessels,Voyage Risk Twin,working,YES,YES,,1063 lines; risk + alternatives + compliance
Vessels,AIS Tracking,mock,YES,NO,MARINETRAFFIC_API_KEY not set,Demo AIS; clearly labeled
Vessels,Sanctions Screening,working,YES,YES,,OFAC/EU/UN lists active
Vessels,Route Anomaly Engine,working,YES,YES,,
Vessels,Vessel Profile,working,YES,YES,,
Vessels,Voyage Economics,working,YES,YES,,
Vessels,Insurance Module,partial,NO,NO,Not DB-connected; hidden from nav,UI built; awaiting API wiring
Vessels,Trading Module,partial,NO,NO,Not DB-connected; hidden from nav,UI built; awaiting API wiring
Carlota Jo,Overview,working,YES,YES,,
Carlota Jo,Case Management,working,YES,YES,,Intake to resolution
Carlota Jo,Client Profiles,working,YES,YES,,VIP preference memory
Carlota Jo,White-Glove Concierge,working,YES,YES,,Full concierge surface
Carlota Jo,Service Lifecycle,working,YES,YES,,
Carlota Jo,Billing / Checkout,partial,YES,NO,STRIPE_SECRET_KEY not in live mode,Checkout route exists (/api/stripe/checkout) with graceful fallback UX; activate with STRIPE_SECRET_KEY
Carlota Jo,Reports,working,YES,YES,,
Counsel,Matter Management,working,YES,YES,,
Counsel,Document Management,working,YES,YES,,
Counsel,Legal Research,partial,YES,NO,CourtListener rate limited without auth token,Works but limited by rate limits
Counsel,Evidence Timeline,working,YES,YES,,
Counsel,Contact Management,working,YES,YES,,
PRISM Counsel,Matter Management,working,YES,YES,,
PRISM Counsel,Evidence Chain,working,YES,YES,,
PRISM Counsel,Research (CourtListener),partial,YES,NO,No COURT_LISTENER_API_TOKEN,Rate limited without token
Sentra,Dashboard,working,YES,YES,,Cyber supplementary surface
Sentra,Incident Management,working,YES,YES,,
Sentra,Asset Inventory,working,YES,YES,,
Sentra,Threat Overview,working,YES,YES,,
Pulse,Briefing Reader,working,YES,NO,,Content is seeded demo data; AI generation partial
Pulse,AI Briefing Generation,partial,NO,NO,RESEND_API_KEY not set; feature flag off,Code path exists
Pulse,Briefing Archive,working,YES,YES,,
Pulse,PDF Export,dormant,NO,NO,Handler not wired,Button removed from UI (Apr-2026); activate by wiring /api/pulse/export/pdf handler
Pulse,Email Subscribe,partial,NO,NO,RESEND_API_KEY not set,Settings toggle UI only; email delivery activates with RESEND_API_KEY
Platform,Health endpoints (/api/health),working,YES,YES,,All 3 endpoints live
Platform,Structured logging (Pino),working,YES,YES,,All console.* removed from production
Platform,Error tracking (Sentry),partial,YES,NO,SENTRY_DSN not set (LB-003),Code ready; needs DSN provisioned
Platform,OTEL distributed tracing,partial,YES,NO,Endpoint not set (LB-006),Code ready; needs endpoint
Platform,Product analytics (PostHog),working,YES,YES,,Confirmed PASS in smoke test
Platform,Demo reset (one-click),working,YES,YES,,/command/demo → Reset button
Platform,Multi-tenant DB isolation,working,YES,YES,,Fixed Apr-2026 (KG001/KG015)
Platform,External uptime monitoring,dormant,YES,NO,Not provisioned (LB-002 — operator action),Health endpoint /api/health is live; provision Betterstack/UptimeRobot to activate
